Epoch,Accuracy
1,0.31746033
2,0.34920636
3,0.3809524
4,0.3809524
5,0.46031746
6,0.44444445
7,0.46031746
8,0.44444445
9,0.47619048
10,0.47619048
11,0.52380955
12,0.4920635
13,0.52380955
14,0.4920635
15,0.4920635
16,0.52380955
17,0.50793654
18,0.53968257
19,0.4920635
20,0.5555556
21,0.46031746
22,0.53968257
23,0.50793654
24,0.5555556
25,0.44444445
26,0.5555556
27,0.53968257
28,0.52380955
29,0.53968257
30,0.4920635
1,0.34920636
2,0.3968254
3,0.44444445
4,0.44444445
5,0.44444445
6,0.34920636
7,0.42857143
8,0.46031746
9,0.50793654
10,0.46031746
11,0.41269842
12,0.47619048
13,0.3968254
14,0.50793654
15,0.44444445
16,0.4920635
17,0.42857143
18,0.50793654
19,0.44444445
20,0.50793654
21,0.44444445
22,0.52380955
23,0.52380955
24,0.52380955
25,0.52380955
26,0.50793654
27,0.4920635
28,0.4920635
29,0.52380955
30,0.50793654
31,0.4920635
32,0.4920635
33,0.52380955
34,0.52380955
35,0.50793654
36,0.53968257
37,0.53968257
38,0.53968257
39,0.4920635
40,0.4920635
41,0.52380955
42,0.4920635
43,0.4920635
44,0.50793654
45,0.4920635
46,0.50793654
47,0.50793654
48,0.5714286
49,0.52380955
50,0.5555556
51,0.52380955
52,0.53968257
53,0.53968257
54,0.5873016
55,0.52380955
56,0.52380955
57,0.5714286
58,0.52380955
59,0.5873016
60,0.5714286
61,0.5873016
62,0.5555556
63,0.5873016
64,0.5873016
65,0.5555556
66,0.5714286
67,0.5714286
68,0.5714286
69,0.5873016
70,0.61904764
71,0.5714286
72,0.5555556
73,0.5873016
74,0.6031746
75,0.61904764
76,0.5873016
77,0.5873016
78,0.61904764
79,0.61904764
80,0.63492066
81,0.53968257
82,0.61904764
83,0.6031746
84,0.5555556
85,0.61904764
86,0.6031746
87,0.53968257
88,0.6031746
89,0.61904764
90,0.6507937
91,0.63492066
92,0.61904764
93,0.5714286
94,0.5873016
95,0.5873016
96,0.63492066
97,0.63492066
98,0.6031746
99,0.6031746
100,0.5873016
1,0.3686007
2,0.38566554
3,0.3447099
4,0.4095563
5,0.43686005
6,0.42320818
7,0.443686
8,0.43003413
9,0.43686005
10,0.45051193
11,0.4675768
12,0.4641638
13,0.44027305
14,0.45051193
15,0.43003413
16,0.44027305
17,0.44027305
18,0.45051193
19,0.44027305
20,0.4675768
21,0.45392492
22,0.44709897
23,0.4573379
24,0.47440273
25,0.47440273
26,0.4641638
27,0.44027305
28,0.4675768
29,0.4573379
30,0.4778157
31,0.45392492
32,0.4641638
33,0.4675768
34,0.47440273
35,0.48464164
36,0.4880546
37,0.48464164
38,0.4641638
39,0.4778157
40,0.4880546
41,0.49488056
42,0.49829352
43,0.4880546
44,0.51877135
45,0.49829352
46,0.49488056
47,0.52901024
48,0.50511944
49,0.5017065
50,0.50511944
51,0.49146757
52,0.5153584
53,0.51877135
54,0.49829352
55,0.51194537
56,0.4778157
57,0.5085324
58,0.5017065
59,0.49829352
60,0.50511944
61,0.48122868
62,0.5085324
63,0.51877135
64,0.5153584
65,0.50511944
66,0.49829352
67,0.51194537
68,0.5153584
69,0.49488056
70,0.5085324
71,0.5085324
72,0.50511944
73,0.5085324
74,0.5017065
75,0.51194537
76,0.51877135
77,0.5085324
78,0.5221843
79,0.5153584
80,0.5017065
81,0.5085324
82,0.5153584
83,0.51194537
84,0.5255973
85,0.51194537
86,0.49829352
87,0.51194537
88,0.51194537
89,0.5255973
90,0.5017065
91,0.51877135
